2023-01-25 14:19:34 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2023-01-25 14:19:34 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2023-01-25 14:19:34 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2023-01-25 14:19:34 [main] INFO  c.k.b.s.I.o.SysOssConfigServiceImpl - 发布刷新OSS配置 => image
2023-01-25 14:19:34 [main] INFO  com.kob.oss.factory.OssFactory - 初始化OSS工厂
2023-01-25 14:19:34 [main] INFO  c.k.b.runner.SystemApplicationRunner - 初始化OSS配置成功
2023-01-25 14:19:36 [RMI TCP Connection(2)-192.168.93.1] INFO  o.a.c.c.C.[.[localhost].[/kob] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-25 15:39:50 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2023-01-25 15:39:50 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2023-01-25 15:39:50 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2023-01-25 15:39:50 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2023-01-25 15:40:36 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2023-01-25 15:40:36 [main] INFO  com.kob.backend.BackendApplication - Starting BackendApplication using Java 1.8.0_202 on DESKTOP-U0P6EDB with PID 14960 (E:\java2\kob\backendcloud\backend\target\classes started by A in E:\java2\kob\backendcloud)
2023-01-25 15:40:36 [main] INFO  com.kob.backend.BackendApplication - The following 1 profile is active: "dev"
2023-01-25 15:40:43 [main] INFO  com.kob.backend.config.JacksonConfig - 初始化 jackson 配置
2023-01-25 15:40:43 [main] INFO  com.kob.backend.config.RedisConfig - 初始化 redis 配置
2023-01-25 15:40:44 [main] INFO  org.redisson.Version - Redisson 3.17.5
2023-01-25 15:40:46 [redisson-netty-2-6] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2023-01-25 15:40:46 [redisson-netty-2-4] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for localhost/127.0.0.1:6379
2023-01-25 15:40:48 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2023-01-25 15:40:48 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-01-25 15:40:48 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-01-25 15:40:48 [main] INFO  o.a.c.c.C.[.[localhost].[/kob] - Initializing Spring embedded WebApplicationContext
2023-01-25 15:40:48 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
